1.000	1.000	1.000	244.228	0.990	2.714	101.585	166.657	945.252	46.747	-18.847	-141.354
1.000	2.000	1.000	251.501	0.990	1.104	146.574	181.761	946.612	84.135	-11.248	-74.368
1.000	3.000	1.000	257.805	0.880	3.098	226.895	192.774	946.893	80.044	-13.925	-97.481
1.000	4.000	1.000	266.944	0.914	2.161	276.904	233.735	946.387	84.235	-14.104	-96.185
1.000	5.000	1.000	274.115	0.806	4.584	267.882	275.128	951.050	122.363	-13.102	-85.846
1.000	6.000	1.000	284.672	0.743	0.813	340.051	289.835	949.852	87.388	-10.344	-67.717
1.000	7.000	1.000	289.888	0.780	1.010	273.869	334.645	950.009	65.946	-8.354	-54.786
1.000	8.000	1.000	286.563	0.784	0.474	223.223	317.419	949.052	68.293	-11.570	-76.966
1.000	9.000	1.000	277.217	0.828	1.902	156.562	279.280	949.352	123.977	-13.224	-86.476
1.000	10.000	1.000	266.947	0.968	0.745	121.439	240.634	945.768	95.875	-13.768	-94.396
1.000	11.000	1.000	252.486	0.903	2.576	106.861	177.238	947.102	21.451	-15.928	-112.132
1.000	12.000	1.000	243.425	0.990	1.465	87.685	159.465	948.169	40.353	-17.386	-124.816
2.000	1.000	1.000	236.715	0.990	2.051	106.473	137.943	950.287	41.205	-19.855	-146.733
2.000	2.000	1.000	249.180	0.990	2.037	153.620	176.474	946.167	59.179	-16.063	-114.348
2.000	3.000	1.000	255.789	0.918	1.135	211.283	202.147	946.881	88.714	-13.932	-95.204
2.000	4.000	1.000	263.938	0.909	0.999	266.366	227.803	950.022	126.731	-12.208	-81.913
2.000	5.000	1.000	273.926	0.835	1.994	298.032	262.403	946.448	161.583	-12.218	-81.098
2.000	6.000	1.000	284.861	0.703	2.091	344.864	292.344	947.356	48.271	-10.462	-67.428
2.000	7.000	1.000	286.421	0.696	1.993	309.721	306.838	947.883	88.467	-10.639	-69.337
2.000	8.000	1.000	284.124	0.834	0.893	219.629	306.629	948.580	109.975	-11.593	-76.876
2.000	9.000	1.000	278.154	0.834	1.103	178.903	276.572	948.272	83.419	-15.349	-105.423
2.000	10.000	1.000	266.589	0.892	2.386	131.998	234.784	948.681	103.297	-14.898	-101.534
2.000	11.000	1.000	250.444	0.990	2.213	103.160	181.740	947.432	66.064	-17.259	-122.058
2.000	12.000	1.000	242.377	0.990	1.273	82.441	163.872	944.144	85.333	-17.475	-126.602
3.000	1.000	1.000	240.702	0.990	1.922	100.629	159.349	944.142	60.022	-17.798	-130.748
3.000	2.000	1.000	241.195	0.990	2.303	162.794	142.444	950.098	32.888	-19.021	-140.270
3.000	3.000	1.000	259.063	0.990	2.273	203.459	214.415	948.907	63.317	-11.217	-72.116
3.000	4.000	1.000	265.986	0.868	2.075	286.438	225.968	947.714	89.501	-12.287	-79.972
3.000	5.000	1.000	274.199	0.834	1.833	291.744	264.953	952.134	126.615	-10.888	-70.448
3.000	6.000	1.000	284.729	0.723	1.354	329.724	293.373	945.452	54.556	-11.987	-80.943
3.000	7.000	1.000	288.227	0.658	1.645	323.122	306.811	948.508	36.942	-11.997	-81.330
3.000	8.000	1.000	286.414	0.812	0.641	210.349	322.575	950.871	99.706	-9.484	-62.240
3.000	9.000	1.000	279.571	0.865	1.222	166.600	285.394	949.839	127.917	-12.049	-79.412
3.000	10.000	1.000	267.079	0.986	1.183	126.288	240.353	945.406	72.908	-13.582	-92.729
